form	pos	lemma
PROLOGHE	NOU-C(number=sg)	proloog
$	PC	None
Dicke	ADV(type=reg)	dik
hebbic	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	hebben+ik
die	PD(type=d-p,position=free)	die
gene	PD(type=d-p,position=free)	geen
bescouden	VRB(finiteness=pastpart)	beschelden
$	PC	None
Die	PD(type=d-p,position=free)	die
hem	PD(type=refl,position=free)	hij
ane	ADP(type=pre)	aan
die	PD(type=d-p,subtype=art,position=prenom)	die
boeke	NOU-C(number=sg)	beuk
houden	VRB(finiteness=fin,tense=pres)	houden
$	PC	None
Daer	ADV(type=pron)	daar
sy	PD(type=pers,position=free)	zij
clene	AA(degree=pos,position=prenom)	klein
profijt	NOU-C(number=sg)	profijt
inne	ADV(type=pron)	in
leren	VRB(finiteness=fin,tense=pres)	leren
$	PC	None
Alsoe	ADV(type=reg)	alzo
sijn	VRB(finiteness=fin,tense=pres)	zijn
geesten	NOU-C(number=pl)	geest
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
heren	NOU-C(number=pl)	heer
$	PC	None
Van	ADP(type=pre)	van
Pertelpeuse	NOU-C(number=sg)	partelpeuze
van	ADP(type=pre)	van
Amedase	NOU-P	Amedase
$	PC	None
Van	ADP(type=pre)	van
Troyen	NOU-P	Troje
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
Fierenbrase	NOU-P	Fierenbrase
$	PC	None
Ende	CONJ(type=coor)	en
menich	PD(type=indef,subtype=oth,position=prenom)	menig
boec	NOU-C(number=sg)	boek
datmen	PD(type=d-p,position=free)+PD(type=pers,position=free)	dat+men
mint	VRB(finiteness=fin,tense=pres)	minnen
$	PC	None
Daer	ADV(type=pron)	daar
men	PD(type=pers,position=free)	men
luttel	PD(type=indef,subtype=oth,position=prenom)	luttel
orboers	NOU-C(number=pl)	oorbaar
in	ADV(type=pron)	in
vint	VRB(finiteness=fin,tense=pres)	vinden
$	PC	None
Nochtan	ADV(type=reg)	nochtan
half	AA(degree=pos,position=prenom)	half
logene	NOU-C(number=sg)	leugen
es	VRB(finiteness=fin,tense=pres)	zijn
ende	CONJ(type=coor)	en
mere	PD(type=indef,position=free)	meer
$	PC	None
Ende	CONJ(type=coor)	en
anders	ADV(type=reg)	anders
en	ADV(type=reg)	ne
hebben	VRB(finiteness=fin,tense=pres)	hebben
engene	PD(type=indef,subtype=oth,position=prenom)	negeen
lere	NOU-C(number=sg)	leer
$	PC	None
Dan	CONJ(type=sub)	dan
vechten	VRB(finiteness=inf)	vechten
ende	CONJ(type=coor)	en
vrouwen	NOU-C(number=pl)	vrouw
te	ADP(type=pre)	te
minnen	VRB(finiteness=inf)	minnen
$	PC	None
Ende	CONJ(type=coor)	en
lant	NOU-C(number=sg)	land
ende	CONJ(type=coor)	en
stede	NOU-C(number=sg)	stede
ende	CONJ(type=coor)	en
borge	NOU-C(number=sg)	borg
te	ADP(type=pre)	te
winnen	VRB(finiteness=inf)	winnen
$	PC	None
Daer	ADV(type=pron)	daar
anders	ADV(type=reg)	anders
niet	ADV(type=reg)	niet
inne	ADV(type=pron)	in
en	ADV(type=reg)	ne
leit	VRB(finiteness=fin,tense=pres)	liggen
$	PC	None
Dan	CONJ(type=sub)	dan
der	PD(type=d-p,subtype=art,position=prenom)	de
werelt	NOU-C(number=sg)	wereld
ydelheit	NOU-C(number=sg)	ijdelheid
$	PC	None
Ende	CONJ(type=coor)	en
leggen	VRB(finiteness=fin,tense=pres)	leggen
die	PD(type=d-p,subtype=art,position=prenom)	die
boeke	NOU-C(number=sg)	beuk
onder	ADP(type=pre)	onder
voet	NOU-C(number=sg)	voet
$	PC	None
Daer	ADV(type=pron)	daar
men	PD(type=pers,position=free)	men
wijsheit	NOU-C(number=sg)	wijsheid
doget	VRB(finiteness=fin,tense=pres)	doen
ende	CONJ(type=coor)	en
goet	AA(degree=pos,position=free)	goed
$	PC	None
Ende	CONJ(type=coor)	en
troest	VRB(finiteness=fin,tense=pres)	troosten
van	ADP(type=pre)	van
allen	PD(type=indef,subtype=oth,position=prenom)	al
goeden	AA(degree=pos,position=prenom)	goed
rade	NOU-C(number=sg)	raad
$	PC	None
An	ADV(type=pron)	aan
leren	VRB(finiteness=inf)	leren
mach	VRB(finiteness=fin,tense=pres)	mogen
vroech	AA(degree=pos,position=free)	vroeg
ende	CONJ(type=coor)	en
spade	ADV(type=reg)	spade
$	PC	None
In	PD(type=indef,position=free)+ADV(type=reg)	u
weet	VRB(finiteness=fin,tense=pres)	weten
wat	PD(type=w-p,position=free)	wat
sire	PD(type=pers,position=free)	zijn
inne	PD(type=d-p,position=free)+ADV(type=pron)	ik+ne
menen	VRB(finiteness=inf)	menen
$	PC	None
Dese	PD(type=d-p,position=free)	deze
slachten	VRB(finiteness=fin,tense=pres)	slachten
wel	ADV(type=reg)	wel
den	PD(type=d-p,position=free)	de
genen	PD(type=d-p,position=free)	geen
$	PC	None
Die	PD(type=d-p,position=free)	die
liden	VRB(finiteness=fin,tense=pres)	lijden
doer	ADP(type=pre)	door
enen	PD(type=indef,subtype=art,position=prenom)	een
bogaert	NOU-C(number=sg)	boomgaard
$	PC	None
Die	PD(type=d-p,position=free)	die
met	ADP(type=pre)	met
vruchten	NOU-C(number=pl)	vrucht
sijn	VRB(finiteness=fin,tense=pres)	zijn
bewaert	VRB(finiteness=pastpart)	bewaren
$	PC	None
Ende	CONJ(type=coor)	en
